## easy-align @justify
Align markdown table                     | ga<motion>*|
Align python/ruby comments               | ga<motion>#
Align latex table                        | ga<motion>&
Align multi line method arguments        | ga<motion>,
Align multi line method chaining         | ga<motion>.
Align for JSON/YAML                      | ga<motion>:
Align around <n>th <delim>               | ga<motion><n><delim>
Align around all <delim>                 | ga<motion>*<delim>
Align around last <delim>                | ga<motion>-<delim>
Right align around first <delim>         | <CR> in prompt
Center align around first <delim>        | <CR><CR> in prompt
Align around regex                       | <C-X> in prompt
Switch to live preview mode              | <C-P> in prompt
Align only lines that match pattern      | <C-F> in prompt; g/pat/ or v/pat/
