# Modified from https://github.com/lifepillar/vim-cheat40/blob/master/cheat40.txt

## file-vim
New untitled document                | :enew
New/open file or dir                 | :e …
Split open (horizontal)              | :sp …
Split open (vertical)                | :vs …
Reopen last opened file              | «C-o»«C-o»
Open with external app               | gx
File explorer (Netrw)                | :Ex
Close file                           | :bd
Close all                            | :%bd
Save                                 | :w
Save (only if modified)              | :up
Save as…                             | :sav …
Save all                             | :wa
Save read-only file                  | :w!
Save session                         | :mks
Restore session                      | :so Session.vim
Restore session                      | :so Session
Reload file from disk                | :e
Revert to last saved                 | :e!
Convert buffer to HTML               | :TOhtml
Print document                       | :hardcopy
Quit (window)                        | :q
Save and quit (window)               | :x, ZZ
Quit without saving                  | :q!, ZQ
Save all and exit Vim                | :xa
Exit Vim without saving              | :qa!

## netrw-vim
Open file/directory                  | «CR»
Open in horizontal split             | o
Open in vertical split               | v
Open in a new tab                    | t
Open with external app               | x
New file here                        | %
New directory here                   | d
Mark file                            | mf
Mark using shell glob                | mr
Unmark all                           | mu
Edit marked files                    | me
Rename file(s)                       | R
Delete file(s)                       | D
Refresh file list                    | «C-l»
File info                            | qf
Toggle hidden files                  | a
Switch file list format              | i
Exit file explorer                   | :Rex

## edit-vim
Back to normal mode                  | «Esc»
Cancel command/operation             | «C-c»
Insert at cursor pos.                | i
Append after the cursor              | a
Insert at start of line              | I
Append at end of line                | A
Open new line below                  | o
Open new line above                  | O
Replace character                    | r‹c›
Replace mode/overwrite               | R
Change                               | c
Replace line                         | cc
Repeat last command                  | .
Undo                                 | u
Redo                                 | «C-r»
Next text state                      | g+
Prev text state                      | g-
Cut                                  | d
Cut into register ‹r›                | "‹r›d
Cut into OS clipboard                | "*d
Cut ‹n› lines                        | ‹n›dd
Cut until the EOL                    | D
Cut ‹n› characters »                 | ‹n›x
Cut ‹n› characters «                 | ‹n›X
Cut all                              | :%d
Copy                                 | y
Copy into register ‹r›               | "‹r›y
Copy into OS clipboard               | "*y
Copy ‹n› lines                       | ‹n›yy
Copy until the EOL                   | y$
Copy all                             | :%y
Paste after cursor                   | p
Paste before cursor                  | P
Paste from register ‹r›              | "‹r›p
Paste from register ‹r›              | «C-r»‹r›
Paste from OS clipboard              | "*p
Paste after and align                | ]p
Paste before and align               | ]P
Visual mode (select)                 | v
Linewise visual mode                 | V
Block visual mode                    | «C-v»
Insert in selected lines             | «C-v»‹Move›I
Append to selected lines             | «C-v»‹Move›A
Change in selected lines             | «C-v»‹Move›c
Delete in selected lines             | «C-v»‹Move›x
Reselect visual                      | gv
Select all                           | ggVG
Delete previous word                 | «C-w»
Erase line before cursor             | «C-u»
Start recording macro                | q‹r›
Stop recording macro                 | q
Run recorded macro                   | @‹r›
Repeat last macro                    | @@
Repeat last Ex command               | @:
Run cmd in all buffers               | :bufdo ‹Cmd›

## text-objects-vim
Around word                          | aw
Inside word                          | iw
Around WORD                          | aW
Inside WORD                          | iW
Around sentence                      | as
Inside sentence                      | is
Around paragraph                     | ap
Inside paragraph                     | ip
